topic_id,topic_label,top_phrases,n_segments_topic,representative_segments
53,Topic_53,"enjoy stay, love stay, recommend stay, highly recommend, highly recommend stay, look forward, stay great, definitely stay, stay month, look forward stay",1069,have stay || glad choose stay || make sure go stay
47,Topic_47,"apartment clean, apartment great, great apartment, apartment perfect, great location, apartment need, basement apartment, nice apartment, clean apartment, apartment exactly",1022,nice modern fresh apartment || place great actual apartment || clean spacious apartment
3,Topic_3,"exceed expectation, answer question, win disappoint, place exceed expectation, place exceed, hope return, feel like, chance meet, feel safe, super helpful",872,turn exactly need || team go way fix || say yes hesitation
36,Topic_36,"great location, location great, good location, great place, great spot, location amazing, place great, place great location, location excellent, location good",862,great location || great location || great location
12,Topic_12,"subway station, public transportation, union station, minute walk, public transport, bus stop, easy access, public transit, walk subway, great location",839,easily route 12 bus 5 minute walk b b kennedy subway station 10 minute don t necessarily need car || ttc short walk away provide access downtown nearby subway station || subway stop nearby super easy
4,Topic_4,"stay toronto, visit toronto, place stay, time toronto, definitely stay, come toronto, place stay toronto, highly recommend, trip toronto, stay time",813,definitely stay time visit toronto || stay e toronto || stay visit toronto
2,Topic_2,"great location, far downtown, location downtown, downtown area, great place, heart downtown, close downtown, location great, heart city, perfect location",780,easy find right downtown || location 10 km downtown || easily downtown
38,Topic_38,"close subway, close public, location close, close downtown, public transportation, public transit, close transit, subway station, super close, close public transportation",739,close airport downtown || close metro great location || great hood close public transportation
45,Topic_45,"great host, amazing host, wonderful host, fantastic host, excellent host, good host, perfect host, super host, lovely host, kind host",734,jonathan jade brilliant host || paul inga wonderful host || james wonderful host
51,Topic_51,"feel welcome, answer question, easy communicate, friendly helpful, super helpful, feel right home, right home, quick respond, feel right, helpful friendly",724,mary jane friendly welcome || start kate hospitable hostess ask || let steve jane welcome
30,Topic_30,"place stay, highly recommend, definitely recommend, business trip, long stay, solo traveler, stay visit, place perfect, great accommodation, place visit",723,kj visit super easy convenient || low need visit || unit confortable visit
24,Topic_24,"great restaurant, lot restaurant, walking distance, walk distance, good restaurant, restaurant nearby, place eat, shop restaurant, bar restaurant, lot great",719,central destination amazing cafe restaurant near || great location bar restaurant opposite lovley park easy walk ths metro || location place short walking distance away great restaurant
