segment_id,review_id,listing_id,segment_text,main_topic_id,main_topic_label,topic_id,topic_label,satisfaction_0_100,sentiment_label
1,463567767,10412695,The pub downstairs has awesome food,7,Location,28,Nearby Restaurants & Shops,81.245,positive
2,463567767,10412695,and seriously the best ceasar I've ever had.,6,Experience,23,Overall Experience,77.115,positive
3,463567767,10412695,The roof top patio was amazing,6,Experience,25,View Experience,84.04,positive
5,463567767,10412695,The neighborhood is perfect,7,Location,27,Location Convenience,78.595,positive
9,1515313053468489649,1467062721079452795,Came back to the city to visit friends,7,Location,27,Location Convenience,73.83500000000001,positive
10,1515313053468489649,1467062721079452795,honestly amazed at the size and view.,6,Experience,25,View Experience,86.75500000000001,positive
11,1515313053468489649,1467062721079452795,Very well worth it and host was very friendly and accommodating.,5,Communication,18,Host Quality,89.715,positive
14,1104488309485849015,992845106496852908,highly recommend!,6,Experience,24,Recommendation,73.7,positive
15,1104488309485849015,992845106496852908,comfortable bed,4,Comfort,13,Bed Comfort,75.53,positive
16,1104488309485849015,992845106496852908,and large balcony with a grill.,6,Experience,25,View Experience,50.0,neutral
17,1104488309485849015,992845106496852908,The place looks exactly like the pictures.,0,Accuracy,1,Photo Accuracy,68.06,positive
18,942760003173206134,16372697,Steal of a deal.,8,Value,32,Value,25.305,negative
19,942760003173206134,16372697,Very affordable Airbnb for central Toronto,6,Experience,23,Overall Experience,50.0,neutral
20,942760003173206134,16372697,a 15 min walk to the Annex,7,Location,27,Location Convenience,50.0,neutral
22,942760003173206134,16372697,Has everything you need if you plan to spend most of your time out.,6,Experience,23,Overall Experience,50.0,neutral
23,334585848,12919114,Great space and AJ is quick and helpful if you need anything.,4,Comfort,14,Interior Design,89.225,positive
24,334585848,12919114,Would definitely stay again,6,Experience,23,Overall Experience,70.095,positive
25,402470439,27748686,Another great stay at Tony’s!,6,Experience,23,Overall Experience,82.94,positive
27,402470439,27748686,comfortable place in the area!,4,Comfort,16,Overall Comfort,77.81,positive
28,314326264,3877705,Easy to communicate with,5,Communication,17,Communication,72.02,positive
29,314326264,3877705,nice touches (like fresh cream in the fridge for the coffee),1,Amenities,2,Coffee & Breakfast,88.25,positive
30,314326264,3877705,also gave us some great recommendations and Lesley is super friendly.,5,Communication,18,Host Quality,95.21,positive
31,314326264,3877705,Would definitely stay here again!,6,Experience,23,Overall Experience,72.87,positive
32,471447903,15537875,I had a wonderful stay at Ping and Martin's place.,6,Experience,23,Overall Experience,78.595,positive
34,471447903,15537875,and the room I had was huge!,4,Comfort,15,Interior Space & Natural Light,69.00999999999999,positive
35,471447903,15537875,I really liked having so much space and it was very private.,4,Comfort,14,Interior Design,73.77,positive
36,471447903,15537875,The bed is super comfy.,4,Comfort,13,Bed Comfort,79.97000000000001,positive
37,471447903,15537875,Thoroughly recommend!,6,Experience,24,Recommendation,73.7,positive
38,1503742303416111460,27529364,Aly was a very good host and very responsive to any pre-arrival questions.,5,Communication,21,Responsive Host,85.86,positive
40,1503742303416111460,27529364,Location was great and we slept very well.,7,Location,29,Neighborhood Quietness,87.87,positive
41,1503742303416111460,27529364,It is a smaller condo and is likely good for a couple or small family.,3,Cleanliness,11,General Cleanliness,72.02,positive
43,581898430032192279,40183121,neat and cozy place.,4,Comfort,16,Overall Comfort,72.94,positive
