topic_id,topic_label,top_phrases,n_segments_topic,representative_segments
23,Topic_23,"great stay, definitely stay, place stay, wonderful stay, comfortable stay, nice stay, overall great, amazing stay, need stay, lovely stay",2136,joy stay le s place || overall great stay || overall great stay
49,Topic_49,"great location, location great, location perfect, perfect location, convenient location, location amazing, location convenient, central location, amazing location, location excellent",1854,great unit great location || location great convenient || great central location
26,Topic_26,"place clean, clean comfortable, super clean, apartment clean, room clean, clean place, nice clean, space clean, clean tidy, clean cozy",1848,vasily s place clean tidy || place clean tidy || place clean tidy
22,Topic_22,"great place, place great, place stay, great place stay, great location, great host, place great location, great stay, great value, great time",1433,great value great price || great great place || great place price
14,Topic_14,"easy check, easy access, check easy, check check, easy communicate, check process, super easy, check time, check super, early check",1196,easy check check process || check check process smooth || check check process smooth
52,Topic_52,"great host, amazing host, fantastic host, host great, excellent host, communication host, great communication, perfect host, 100 recommend, lovely host",1182,jason amada great host || jason amada great host || jason abby great host
35,Topic_35,"minute walk, subway station, min walk, union station, close subway, bus stop, walk away, 10 minute, 10 10, short walk",1172,short walk bus stop 10 15 minute walk away subway station || 10min walk subway station 3min walk bus stop take subway station || bus 2 minute walk away subway short ride away
12,Topic_12,"quick respond, answer question, wonderful host, respond quickly, respond question, quick respond question, host quick, quick response, thank hospitality, thank host",1165,warren quick respond request question || respond immediately message question || thank andrew wonderful hospitality
10,Topic_10,"visit toronto, stay toronto, time toronto, great time, definitely stay, stay visit, stay time, time stay, absolutely stay, second time",1123,choose no place stay time toronto || choose stay time visit toronto || summary want stay time visit toronto
21,Topic_21,"host friendly, friendly host, friendly helpful, host kind, helpful host, kind host, extremely helpful, host helpful, kind helpful, super friendly",1105,host helpful communicative genuinely kind || host hostess extremely helpful communicative || charlie extremely gracious kind host
4,Topic_4,"highly recommend, recommend place, recommend stay, highly recommend place, highly recommend stay, stay highly, stay highly recommend, place stay, recommend look, stay toronto",1005,highly recommend anastasia s place || battery clock tv remote dead unusable || highly recommend accommodation
37,Topic_37,"exactly like, place exactly, like picture, exactly picture, look exactly, like photo, fully equip, look exactly like, private bathroom, exactly like photo",896,arshad s place exactly describe depict photo || place exactly like picture || place exactly like picture
42,Topic_42,"feel like, right home, feel right, feel right home, feel home, like home, away home, feel like home, home away, home away home",893,place feel like true home away home || truly feel like home away home || truly feel like home away home
43,Topic_43,"host responsive, responsive host, responsive helpful, super responsive, friendly responsive, responsive question, helpful responsive, responsive friendly, responsive accommodate, host friendly",870,host incredibly responsive helpful || host friendly responsive question || host friendly responsive question
1,Topic_1,"good location, good place, good host, good stay, location good, place good, good airbnb, place awesome, good communication, good experience",822,good place ve ve || jennifer s place awesome || good place city
44,Topic_44,"place nice, nice place, nice host, nice location, nice quiet, nice cozy, nice apartment, host nice, room nice, nice helpful",798,shower pressure poor || shower curtain throw || mackenzie nice place
50,Topic_50,"place perfect, perfect place, value money, place stay, explore city, explore toronto, perfect place stay, perfect family, location perfect, perfect location",699,place perfect couple || place perfect couple || perfect solo couple
31,Topic_31,"amenity need, possibly need, close need, help need, sure need, perfect need, space need, trinity bellwood, provide need, kitchen need",698,suite furnish need || suite possibly need || place possibly need
2,Topic_2,"definitely recommend, definitely book, recommend place, definitely come, definitely recommend place, recommend stay, definitely recommend stay, ll definitely, definitely return, definitely stay",694,definitely recommend olga s place traveler || definitely recommend place friend || ll definitely recommend friend denmark
8,Topic_8,"little bit, late night, place small, little small, bit small, flight stair, street noise, second floor, partial refund, hear upstairs",665,hear footstep noise upstairs || place bit small || hear impact noise footstep
46,Topic_46,"public transportation, public transit, public transport, close public, close public transportation, close transit, close public transit, great location, location close, near public",642,near public transit shopping || place close public transportation || make ideal public transportation
47,Topic_47,"grocery store, parking spot, great spot, parking garage, street parking, free parking, parking include, parking pass, parking available, parking street",638,parking challenge narrow alley || parking spot include || grocery store nearby
20,Topic_20,"enjoy stay, book place, enjoy time, pleasure stay, thoroughly enjoy, thoroughly enjoy stay, definitely book, stay place, truly enjoy, family enjoy",610,enjoy stay steve s place || enjoy stay unit || enjoy stay chat
36,Topic_36,"bed comfortable, comfortable bed, super comfortable, bed super, bed super comfortable, sofa bed, bed pillow, extremely comfortable, clean bed, bed extremely",603,bed thick soft mattress sofa large comfortable || queen bed sofa bed comfortable || extremely comfortable bed pillow
9,Topic_9,"basement apartment, apartment great, great apartment, apartment perfect, apartment beautiful, apartment comfortable, lovely apartment, apartment need, basement unit, apartment spotless",601,mindful basement apartment || s basement apartment || basement apartment
51,Topic_51,"great space, kitchen stock, share space, lot space, parking space, hustle bustle, space beautiful, plenty space, stock kitchen, space great",599,kitchen share space || kitchen stock utensil || space share
0,Topic_0,"great communication, communication great, minor issue, leave key, communication fast, detailed instruction, wasn issue, shampoo conditioner, want leave, issue whatsoever",591,minor issue arrival || zero issue sad leave || wasn t issue
3,Topic_3,"quiet neighborhood, washer dryer, couldn ask, neighborhood quiet, scotiabank arena, great neighborhood, quiet street, quiet safe, safe neighborhood, quiet neighbourhood",584,neighborhood quiet safe || safe quiet neighborhood || neighborhood quiet safe
38,Topic_38,"love stay, love place, absolutely love, stay enjoyable, enjoyable stay, absolutely love stay, love come, stay place, comfortable enjoyable, definitely stay",572,partner absolutely love stay || certainly love stay place || love stay natalija s place
41,Topic_41,"downtown toronto, close downtown, drive downtown, stay downtown, heart downtown, place spotless, place stay, right downtown, match description, stay downtown toronto",564,close streetcar go right downtown || 20 minute drive downtown || get downtown take 45 minute streetcar
40,Topic_40,"natural light, lot natural, common area, lot room, lot natural light, area lot, great area, lot great, place eat, live area",556,lot natural light || lot natural light || lot natural light
28,Topic_28,"brand new, place lovely, lovely place, house lovely, house great, beautiful house, great house, house beautiful, house spacious, lovely house",522,lovely mj s house || lovely house || house lovely
27,Topic_27,"living room, hot tub, blue jay, room great, jay game, room spacious, blue jay game, plenty room, master bedroom, hotel room",521,sleep bedroom window open || fridge visible mold inside || open living room e
33,Topic_33,"long stay, term stay, short stay, long term, exceed expectation, stay long, stay month, long term stay, short long, need short",512,long short term stay || wish stay place long || not bad place short stay
48,Topic_48,"feel comfortable, place comfortable, comfortable place, comfortable space, cozy comfortable, comfortable cozy, spacious comfortable, space comfortable, sure comfortable, place expect",486,unit comfortable appoint want forgo venture || comfortable modern place || place comfortable appoint
34,Topic_34,"great experience, airbnb experience, overall great, overall great experience, good airbnb, wonderful experience, good experience, good airbnb experience, experience ve, overall experience",482,positive experience begin end || s high end building || high end furnishing
17,Topic_17,"place amazing, amazing place, amazing view, view amazing, low ceiling, amazing experience, amazing host, bit low, amazing time, ceiling bit",471,amazing watch rain storm romantic sunset || ceiling low people 6 3 aware || caroline s place amazing
54,Topic_54,"great view, view city, view balcony, make sure, place fantastic, beautiful view, incredible view, sure need, view lake, cn tower",457,view balcony stunning || eva roberto accommodating change reservation || view view
15,Topic_15,"amenity provide, extra towel, great amenity, basic amenity, towel provide, don justice, sheet towel, don hesitate, extra amenity, amenity like",438,provide baby crib hight chair || basic amenity provide || rely daily life
7,Topic_7,"coffee shop, washing machine, restaurant shop, shop restaurant, coffee tea, coffee machine, great coffee, local restaurant, food drink, great coffee shop",429,tea fridge milk cream coffee condiment || milk whatnot coffee tea || cream fridge coffee
30,Topic_30,"cn tower, view cn tower, view cn, wi fi, arrive late, day night, ripley aquarium, walk cn, walk cn tower, close cn",408,cn tower ripley aquarium || cn tower ripley aquarium || plane cancel arrive day later
19,Topic_19,"walk distance, kensington market, thoughtful touch, lawrence market, st lawrence market, st lawrence, easy walk, short walk, location walk, able walk",408,walk distance st lawrence market || st lawrence market harbourfront || st lawrence market
39,Topic_39,"place beautiful, nicely decorate, place cozy, tastefully decorate, beautiful cozy, beautiful view, little touch, cozy place, beautiful place, absolutely beautiful",403,beautiful nicely decorate || place decorate nicely || place beautiful
13,Topic_13,"centrally locate, conveniently locate, perfectly locate, place locate, water bottle, huge plus, locate near, ideally locate, didn bother, cold water",391,exhibition place budweis stage || conveniently locate place || place centrally locate
16,Topic_16,"walking distance, walk distance, early morning, restaurant walking, restaurant walking distance, easy walking, easy walking distance, great restaurant, great neighbourhood, check early",387,walk distance restaurant main attraction || walking distance casual restaurant || restaurant thriftstore walking distance
11,Topic_11,"great restaurant, lot restaurant, block away, restaurant bar, close restaurant, bar restaurant, good restaurant, lot great, lot great restaurant, shop restaurant",364,close restaurant supermarket || indian restaurant block away sinful curry || close restaurant
24,Topic_24,"clear instruction, instruction clear, year old, easy follow, provide clear, check instruction, stress free, provide clear instruction, instruction check, clear easy",348,instruction place clear || instruction clear || instruction clear
25,Topic_25,"air bnb, air conditioning, heart city, heart toronto, travel toronto, able walk, bottle wine, bnb experience, air bnb experience, good air",333,eric s place leslieville gem || 3 story victorian townhouse heart annex || place gem heart yorkvile
5,Topic_5,"come toronto, wait come, willing help, come sure, ready help, cook meal, available help, come canada, don mind, help need",332,help immediately get stick pickle || come canada || s accessesable street car
6,Topic_6,"look forward, look forward stay, forward stay, pleasant stay, beautifully decorate, look stay, ve stay, forward visit, exactly look, recommend look",332,ve look || look forward go || beautifully decorate
29,Topic_29,"stay future, definitely stay, stay week, light sleeper, hesitate stay, definitely stay future, week stay, consider stay, extend stay, wouldn hesitate",296,wouldn t hesitate stay || wouldn t want stay || stay future
53,Topic_53,"comfy bed, bed comfy, super comfy, bed super, bed super comfy, local recommendation, super host, super convenient, 3rd floor, king size",278,king size bed super comfy || bed super comfy || super comfy bed
45,Topic_45,"easily accessible, easily walkable, ton restaurant, food option, plenty restaurant, walkable distance, lot restaurant, great restaurant, walkable restaurant, walkable lot",256,easily walkable restaurant || ton restaurant option || walkable restaurant attraction
32,Topic_32,"roger centre, roger center, friendly accommodate, entertainment district, helpful accommodate, super accommodate, close roger, lake ontario, cn tower, eaton center",250,roger center || willing accommodate || lake ontario
18,Topic_18,"hope return, greatly appreciate, north york, especially appreciate, rent place, hope soon, pretty convenient, adult comfortably, peaceful quiet, downside lack",227,place peaceful pretty || downside lack cleanliness || pretty zero downside
